длина,громкость,животное
520,100,анти_слон
185,45,лопа
600,105,анти_слон
190,50,лопа
180,42,лопа
65,17,анти_суслик
515,145,анти_слон
530,110,анти_слон
555,120,анти_слон
40,15,анти_суслик
20,10,анти_суслик
175,47,лопа
560,115,анти_слон
200,55,лопа
50,20,анти_суслик
35,13,анти_суслик
575,135,анти_слон
160,48,лопа
35,13,анти_суслик
60,18,анти_суслик
150,40,лопа
25,19,анти_суслик
540,140,анти_слон
155,52,лопа
500,130,анти_слон
585,115,анти_слон
30,12,анти_суслик
70,14,анти_суслик
