№	Штат	Официальное название	Почтовый код	Дата основания	Население, человек (перепись 2020)	Территория, км²	ВВП на душу населения (2005), дол. США	Административный центр	Крупнейший город 
1	Айдахо	State of Idaho	ID	3 июля 1890	1 839 106	216 632	33 012	Бойсе	Бойсе
2	Айова	State of Iowa	IA	28 декабря 1846	3 190 369	145 743	38 529	Де-Мойн	Де-Мойн
3	Алабама	State of Alabama	AL	14 декабря 1819	5 024 279	135 765	32 866	Монтгомери	Бирмингем
4	Аляска	State of Alaska	AK	3 января 1959	733 391	1 717 854	60 079	Джуно	Анкоридж
5	Аризона	State of Arizona	AZ	14 февраля 1912	7 151 502	295 254	36 327	Финикс	Финикс
6	Арканзас	State of Arkansas	AR	15 июня 1836	3 011 524	137 732	31 233	Литл-Рок	Литл-Рок
7	Вайоминг	State of Wyoming	WY	10 июля 1890	576 851	253 348	53 843	Шайенн	Шайенн
8	Вашингтон	State of Washington	WA	11 ноября 1889	7 705 281	184 827	42 702	Олимпия	Сиэтл
9	Вермонт	State of Vermont	VT	4 марта 1791	643 077	24 923	37 130	Монтпилиер	Берлингтон
10	Виргиния	Commonwealth of Virginia	VA	25 июня 1788	8 631 393	110 785	46 613	Ричмонд	Верджиния-Бич
11	Висконсин	State of Wisconsin	WI	29 мая 1848	5 893 718	169 639	39 294	Мадисон	Милуоки
12	Гавайи	State of Hawai`i Moku`a-ina o Hawai`i	HI	21 августа 1959	1 455 271	28 311	42 119	Гонолулу	Гонолулу
13	Делавэр	State of Delaware	DE	7 декабря 1787	989 948	6452	64 437	Довер	Уилмингтон
14	Джорджия	State of Georgia	GA	2 января 1788	10 711 908	153 909	40 155	Атланта	Атланта
15	Западная Виргиния	State of West Virginia	WV	20 июня 1863	1 793 716	62 755	29 602	Чарлстон	Чарлстон
16	Иллинойс	State of Illinois	IL	3 декабря 1818	12 812 508	149 998	43 886	Спрингфилд	Чикаго
17	Индиана	State of Indiana	IN	11 декабря 1816	6 785 528	94 321	38 048	Индианаполис	Индианаполис
